title,company,date,link
삼성전자 주가가 심상찮다… 과거 주가로 따지면 한 주당 400만원인 셈,위키트리,1시간 전,https://www.wikitree.co.kr/articles/605335
"삼성전자, 5G 첫 러기드폰 출시한다... B2B 시장 겨냥",전자신문,4시간 전,http://www.etnews.com/20201228000043
"카카오·삼성전자·SK텔레콤, 팬데믹 극복 위한 ‘K인공지능’ 공동 개발",한경비즈니스,3시간 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=050&aid=0000056126
[비즈톡톡] 성과급 불만으로 드러난 삼성디스플레이 ‘LCD 딜레마',조선비즈언론사 선정,1일 전,https://biz.chosun.com/site/data/html_dir/2020/12/24/2020122402734.html?utm_source=naver&utm_medium=original&utm_campaign=biz
[오전시황]코스피 장중 최고치 경신…삼성전자 장중 8만원 돌파,헤럴드경제,6시간 전,http://news.heraldcorp.com/view.php?ud=20201228000147
[주간추천주]삼성전자 KB금융지주 등…고배당株 ‘주목’,이데일리,1일 전,http://www.edaily.co.kr/news/newspath.asp?newsid=01377606626002784
"상소문폰 이어 병풍폰 등장…삼성 ‘갤폴드3’, 2번 접는다?",디지털데일리언론사 선정,2일 전,http://www.ddaily.co.kr/news/article.html?no=207059
"""TSMC 게 섯거라""…삼성전자, 새해 시스템반도체 격차 줄일까",미디어펜,2시간 전,http://www.mediapen.com/news/view/587289
올해 폴더블폰 출하량 280만대... 삼성 시장 점유율 73%,조선비즈언론사 선정,5일 전,https://biz.chosun.com/site/data/html_dir/2020/12/23/2020122302427.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"내년 반도체 슈퍼사이클...삼성, 비메모리서 첫 20조 매출 기대",서울경제,22시간 전,https://www.sedaily.com/NewsView/1ZBUJ2XQOM
